train_on,test_on,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,TON_IoT,RandomForest,0.9762841536291748,0.9758374192536481,0.9762841536291748,0.9760182735461928
TON_IoT,UNSW-NB15,RandomForest,0.9728364527394816,0.9724182736491528,0.9728364527394816,0.9725847261738294
