dataset,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,RandomForest,0.9735787601517132,0.9799087482960275,0.9735787601517132,0.9757666479623901
TON_IoT,RandomForest,0.9864010045251013,0.9864640980807224,0.9864010045251013,0.986404123225541
