train_on,test_on,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,TON_IoT,RandomForest,0.17412565211828868,0.2339186665703237,0.17412565211828868,0.12350260294554474
TON_IoT,UNSW-NB15,RandomForest,0.3397895145864077,0.7880728063880343,0.3397895145864077,0.46885393107715334
