model,accuracy,precision_weighted,recall_weighted,f1_weighted,train_on,test_on
RandomForest + LIME,0.2200457142857143,0.7217617641542053,0.2200457142857143,0.3189970848896519,TON_IoT,UNSW-NB15
SVM,0.07537571428571428,0.8275844461358711,0.07537571428571428,0.010606691269429262,TON_IoT,UNSW-NB15
SVM + SHAP,0.07539142857142857,0.5702804658646565,0.07539142857142857,0.010751009458110153,TON_IoT,UNSW-NB15
SVM + LIME,0.06130857142857143,0.3975859591747237,0.06130857142857143,0.07879045336082727,TON_IoT,UNSW-NB15
XGBoost,0.14482571428571428,0.6368644305125797,0.14482571428571428,0.2154186347068507,TON_IoT,UNSW-NB15
XGBoost + SHAP,0.13361142857142858,0.6194202318236185,0.13361142857142858,0.19794884771781995,TON_IoT,UNSW-NB15
XGBoost + LIME,0.12205857142857143,0.5972068227252657,0.12205857142857143,0.1805037233754261,TON_IoT,UNSW-NB15
CNN,0.06301428571428572,0.15143088777388372,0.06301428571428572,0.01420590799290272,TON_IoT,UNSW-NB15
CNN + SHAP,0.09849285714285715,0.547116861532914,0.09849285714285715,0.13714738898897447,TON_IoT,UNSW-NB15
CNN + LIME,0.07949714285714286,0.48717379523969045,0.07949714285714286,0.08836261572694835,TON_IoT,UNSW-NB15
