train_on,test_on,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,TON_IoT,RandomForest,0.19576579180546144,0.23145279325587614,0.19576579180546144,0.18409505543550508
UNSW-NB15,TON_IoT,SVM,0.3790507147832432,0.1437370285807842,0.3790507147832432,0.2084349685544471
UNSW-NB15,TON_IoT,ANN,0.17803480807228858,0.13051053249021952,0.17803480807228858,0.15060255420472038
TON_IoT,UNSW-NB15,RandomForest,0.5316978118602688,0.844610468545034,0.5316978118602688,0.6492020237685124
TON_IoT,UNSW-NB15,SVM,0.1724654679064744,0.7325050632746477,0.1724654679064744,0.26996994069984953
TON_IoT,UNSW-NB15,ANN,0.3109609843414509,0.7786187368496124,0.3109609843414509,0.43828646740192806
