dataset,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,RandomForest,0.9757573160191713,0.9852766294020657,0.9757573160191713,0.9788881794866809
UNSW-NB15,SVM,0.2918050585352962,0.9122665904702513,0.2918050585352962,0.39420232743276923
UNSW-NB15,ANN,0.0657852443911115,0.9363307517440734,0.0657852443911115,0.11241951642109191
TON_IoT,RandomForest,0.985808713781421,0.9858687890886044,0.985808713781421,0.9858114630892334
TON_IoT,SVM,0.8987419744604231,0.9081733858933213,0.8987419744604231,0.9014760488063555
TON_IoT,ANN,0.9751948636546708,0.975348946794712,0.9751948636546708,0.9752019370444952
