dataset,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,RandomForest,0.9740716137741873,0.9802270124140121,0.9740716137741873,0.9761340698736851
UNSW-NB15,SVM,0.36338311869200934,0.9111883044959286,0.36338311869200934,0.4732057275778184
UNSW-NB15,ANN,0.26818379868715225,0.9343455163335762,0.26818379868715225,0.36771524095685776
TON_IoT,RandomForest,0.9853585728162241,0.9854075377730969,0.9853585728162241,0.9853633434228989
TON_IoT,SVM,0.8626122390959274,0.8771511892747447,0.8626122390959274,0.8657063687723324
TON_IoT,ANN,0.9696510222938236,0.9700108252628122,0.9696510222938236,0.9697284994881521
