train_on,test_on,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,TON_IoT,RandomForest,0.20216259245746127,0.25864995032109067,0.20216259245746127,0.18098229066969423
TON_IoT,UNSW-NB15,RandomForest,0.5502563567766332,0.8535303100943301,0.5502563567766332,0.6655155498015789
