dataset,model,accuracy,precision_weighted,recall_weighted,f1_weighted
UNSW-NB15,RandomForest,0.9756073170905922,0.9815204594024542,0.9756073170905922,0.9774578938340839
TON_IoT,RandomForest,0.987159136677012,0.9871847524374788,0.987159136677012,0.9871600204216332
